3:25 PM,CZ3561,Shenzhen(SZX),China Southern Airlines,A333(B-1063),,Landed4:17 PM
3:30 PM,FM9116,Tianjin(TSN),Shanghai Airlines,B738(B-1967),,Landed4:25 PM
3:30 PM,MF8178,Beijing(PEK),Xiamen Air,B738(B-5847),,Landed2:56 PM
3:30 PM,TV9881,Chengdu(CTU),Tibet Airlines,A332(B-1046),,Landed3:24 PM
3:40 PM,CA1517,Beijing(PEK),Air China,A333(B-5916),,Landed3:42 PM
3:40 PM,MU5154,Beijing(PEK),Shanghai Airlines,B738(B-5610),,Landed3:23 PM
3:45 PM,HO1200,Taiyuan(TYN),Juneyao Air,A321(B-8955),,Landed3:36 PM
3:50 PM,FM9314,Guangzhou(CAN),Shanghai Airlines,B738(B-5523),,Landed3:40 PM
3:50 PM,MU5344,Shenzhen(SZX),China Eastern Airlines,A333(B-1041),,Landed3:56 PM
3:50 PM,9C8848,Lanzhou(LHW),Spring Airlines,A320(B-1657),,Landed3:48 PM
3:55 PM,FM816,Tokyo(HND),Shanghai Airlines,A333(B-6096),,Landed3:16 PM
3:55 PM,FM9392,Changsha(CSX),Shanghai Airlines,B738(B-7633),,Landed3:43 PM
4:00 PM,MU5692,Yinchuan(INC),China Eastern Airlines,A321(B-6886),,Landed4:32 PM
4:00 PM,SC4849,Yantai(YNT),Shandong Airlines,B738(B-7976),,Landed3:57 PM
4:00 PM,9C8888,Chengdu(CTU),Spring Airlines,A320(B-6932),,Landed4:02 PM
4:05 PM,MU5018,Hong Kong(HKG),China Eastern Airlines,A333(B-5953),,Landed4:23 PM
4:10 PM,BR772,Taipei(TSA),EVA Air,A333(B-16336),,Landed4:12 PM
4:10 PM,FM818,Macau(MFM),Shanghai Airlines,B738(B-5550),,Landed4:07 PM
4:10 PM,MU5428,Chongqing(CKG),China Eastern Airlines,B738(B-1535),,Landed3:58 PM
4:15 PM,CZ6973,Urumqi(URC),China Southern Airlines,B738(B-1917),,Landed4:37 PM
4:15 PM,MU5809,Kunming(KMG),China Eastern Airlines (Yunnan Peacock Livery),B738(B-5683),,Landed4:40 PM
4:15 PM,MU5946,Kunming(KMG),China Eastern Airlines,737,,Unknown
4:20 PM,MU2159,Xi'an(XIY),China Eastern Airlines,A321(B-6643),,Landed3:58 PM
4:20 PM,MU2404,Taiyuan(TYN),China Eastern Airlines,B738(B-206S),,Landed4:09 PM
4:20 PM,MU5114,Beijing(PEK),China Eastern Airlines,A333(B-8971),,Landed4:07 PM
4:25 PM,MU5386,Guangzhou(CAN),China Eastern Airlines,B738(B-1319),,Landed4:03 PM
4:25 PM,SC4665,Qingdao(TAO),Shandong Airlines,B738(B-6987),,Landed3:53 PM
4:30 PM,MF8372,Shenzhen(SZX),Xiamen Air,B738(B-5458),,Landed4:20 PM
4:30 PM,9C8882,Shenzhen(SZX),Spring Airlines,A320(B-1026),,Landed4:13 PM
4:35 PM,9C8828,Huaihua(HJJ),Spring Airlines,A320(B-6562),,Landed5:01 PM
4:40 PM,CA1521,Beijing(PEK),Air China,B77W(B-2087),,Landed4:40 PM
4:45 PM,CA198,Taipei(TSA),Air China,A333(B-6523),,Landed4:49 PM
4:45 PM,MU538,Tokyo(HND),China Eastern Airines,A333(B-303D),,Landed4:25 PM
4:45 PM,9C8838,Xiamen(XMN),Spring Airlines,A320(B-8347),,Landed4:26 PM
4:50 PM,HO1098,Chengdu(CTU),Juneyao Air,B789(B-20D1),,Landed4:43 PM
4:50 PM,MU5520,Qingdao(TAO),China Eastern Airlines,A332(B-6537),,Landed4:32 PM
4:55 PM,HO1210,Guiyang(KWE),Juneyao Air,A321(B-8036),,Landed4:47 PM
4:55 PM,MU5410,Chengdu(CTU),China Eastern Airlines,B738(B-1321),,Landed4:53 PM
5:00 PM,MF8509,Xiamen(XMN),Xiamen Air (SkyTeam Livery),B738(B-5159),,Landed4:56 PM
5:00 PM,MU5346,Shenzhen(SZX),China Eastern Airlines,A321(B-6330),,Landed4:39 PM
5:00 PM,OZ3615,Seoul(GMP),Asiana Airlines,A333(HL7794),,Landed4:43 PM
5:05 PM,CA1523,Tianjin(TSN),Air China,B738(B-7896),,Landed6:07 PM
5:05 PM,KE815,Seoul(GMP),Korean Air,B77W(HL8216),,Landed4:47 PM
5:05 PM,MU5306,Guangzhou(CAN),Shanghai Airlines,B738(B-1335),,Landed4:34 PM
5:10 PM,HU7609,Beijing(PEK),Hainan Airlines,A332(B-5955),,Landed5:15 PM
5:10 PM,FM9452,Kunming(KMG),Shanghai Airlines,B738(B-206W),,Landed5:09 PM
5:10 PM,HO1096,Bijie(BFJ),Juneyao Air,A320(B-6861),,Landed5:15 PM
5:15 PM,CZ3831,Shenzhen(SZX),China Southern Airlines,A321(B-6912),,Landed5:01 PM
5:15 PM,HO1178,Sanya(SYX),Juneyao Air,A321(B-8458),,Landed5:10 PM
5:15 PM,ZH5082,Sanya(SYX),Shenzhen Airlines,A321(B-8458),,Landed5:10 PM
5:15 PM,SC4673,Qingdao(TAO),Shandong Airlines,B738(B-1510),,Landed5:06 PM
5:15 PM,CA4673,Qingdao(TAO),Air China,B738(B-1510),,Landed5:06 PM
5:20 PM,FM9358,Jieyang(SWA),Shanghai Airlines,B738(B-5833),,Landed5:20 PM
5:20 PM,FM9536,Xiamen(XMN),Shanghai Airlines,B737(B-5801),,Landed4:52 PM
5:20 PM,MU5116,Beijing(PEK),China Eastern Airlines,A333(B-1066),,Landed4:58 PM
5:25 PM,CZ3571,Guangzhou(CAN),China Southern Airlines,B77W(B-20AC),,Landed5:06 PM
5:25 PM,MU2286,Weihai(WEH),China Eastern Airlines,B738(B-1318),,Landed5:38 PM
5:30 PM,MU5460,Hohhot(HET),China Eastern Airlines,A20N(B-300R),,Landed5:52 PM
5:35 PM,MU5648,Xiamen(XMN),China Eastern Airlines,A321(B-2419),,Landed5:31 PM
5:40 PM,CA1515,Beijing(PEK),Air China,B77W(B-2088),,Landed5:31 PM
5:40 PM,KN5955,Beijing(NAY),China United Airlines,B738(B-1427),,Landed5:29 PM
5:45 PM,MU5308,Guangzhou(CAN),China Eastern Airlines,A333(B-6507),,Landed5:23 PM
5:50 PM,MU5560,Nanchang(KHN),China Eastern Airlines,A320(B-1865),,Landed5:33 PM
5:50 PM,FM9232,Qingdao(TAO),Shanghai Airlines,B738(B-5316),,Landed5:29 PM
5:55 PM,MU5352,Shenzhen(SZX),China Eastern Airlines,A321(B-8230),,Landed5:21 PM
6:00 PM,HX238,Hong Kong(HKG),Hong Kong Airlines,A333(B-LNU),,Landed5:45 PM
6:05 PM,CZ6583,Shenzhen(SZX),China Southern Airlines,A321(B-1846),,Landed5:42 PM
6:05 PM,9C8904,Shijiazhuang(SJW),Spring Airlines,A320(B-8817),,Landed6:09 PM
6:10 PM,MU5390,Luoyang(LYA),China Eastern Airlines,A321(B-8568),,Landed5:52 PM
6:10 PM,MU5412,Chengdu(CTU),China Eastern Airlines,A320(B-6558),,Landed6:19 PM
6:15 PM,MU2161,Xi'an(XIY),China Eastern Airlines,A321(B-1858),,Landed7:06 PM
6:15 PM,MU2505,Wuhan(WUH),China Eastern Airlines,B738(B-5517),,Landed5:42 PM
6:15 PM,9C8808,Xiamen(XMN),Spring Airlines,A320(B-6646),,Landed5:47 PM
6:20 PM,MF8505,Xiamen(XMN),Xiamen Air,B738(B-5752),,Landed5:57 PM
6:20 PM,CZ3551,Shenzhen(SZX),China Southern Airlines,A320(B-6911),,Landed6:08 PM
